src,dec,time_index,s_time,s_data,s_rate,r_time,r_data,r_rate
1,18,243,5.0,161.0,271.0,5.0,102.0,172.0
1,19,258,5.0,165.0,276.0,5.0,109.0,183.0
1,14,183,5.0,227.0,381.0,5.0,163.0,273.0
1,17,228,5.0,290.0,487.0,5.0,243.0,408.0
1,13,168,5.0,293.0,492.0,5.0,244.0,410.0
1,21,288,5.02,310.0,518.0,5.02,259.0,433.0
1,24,333,5.0,382.0,640.0,5.0,346.0,580.0
1,23,318,5.0,440.0,738.0,5.0,390.0,653.0
1,9,108,5.0,519.0,871.0,5.0,458.0,768.0
1,25,348,5.0,520.0,873.0,5.0,442.0,742.0
1,8,93,5.0,567.0,951.0,5.0,527.0,884.0
1,12,153,5.0,602.0,1010.0,5.0,566.0,950.0
1,16,213,5.0,604.0,1010.0,5.0,553.0,928.0
1,15,198,5.0,735.0,1230.0,5.0,692.0,1160.0
1,11,138,5.0,999.0,1680.0,5.0,917.0,1540.0
1,10,123,5.0,1010.0,1730.0,5.0,996.0,1670.0
1,3,18,5.0,1080.0,1860.0,5.0,1040.0,1780.0
1,7,78,5.0,1170.0,2020.0,5.0,1130.0,1940.0
1,2,3,5.0,2930.0,5040.0,5.0,2880.0,4940.0
1,5,48,5.0,2980.0,5120.0,5.0,2940.0,5050.0
1,6,63,5.0,4550.0,7810.0,5.0,4510.0,7750.0
